seed,algorithm,condition,n_iter,surrogates_fitted,search_kappa,repeated_cv_mean,repeated_cv_sd,ci95_low,ci95_high,heldout_kappa,heldout_auc,accuracy,best_params
42,SVM,bayes15,15,6,0.8798959147464984,0.8484082192498674,0.0738068867946845,0.83427868589639,0.8625556902897938,0.736842105263158,0.9288194444444444,0.8958333333333334,"{""svm__C"": 0.8702811428778612, ""svm__gamma"": 0.07517239253342656, ""svm__kernel"": ""rbf""}"
42,SVM,random15,15,1,0.8798959147464984,0.8484082192498674,0.0738068867946845,0.83427868589639,0.8625556902897938,0.736842105263158,0.9288194444444444,0.8958333333333334,"{""svm__C"": 0.8702811428778612, ""svm__gamma"": 0.07517239253342656, ""svm__kernel"": ""rbf""}"
42,XGBoost,random5,5,1,0.8323526222996798,0.8391500633958796,0.0885125278517543,0.8215852892373257,0.8564035456061887,0.7142857142857143,0.934027777777778,0.8854166666666666,"{""xgb__colsample_bytree"": 0.7198213766428693, ""xgb__gamma"": 2.190145932204617, ""xgb__learning_rate"": 0.04843382015645565, ""xgb__max_depth"": 7, ""xgb__max_leaves"": 95, ""xgb__min_child_weight"": 2.7168289873702833, ""xgb__n_estimators"": 198, ""xgb__reg_alpha"": 0.0015932092308169063, ""xgb__reg_lambda"": 0.020232360451712422, ""xgb__subsample"": 0.7978278686097289}"
42,XGBoost,bayes15,15,6,0.8740742511496411,0.8568042078765419,0.0792571896630292,0.841385267450131,0.8722067210483603,0.76,0.941550925925926,0.90625,"{""xgb__colsample_bytree"": 0.4, ""xgb__gamma"": 0.0, ""xgb__learning_rate"": 0.2, ""xgb__max_depth"": 8, ""xgb__max_leaves"": 50, ""xgb__min_child_weight"": 0.15273953976120425, ""xgb__n_estimators"": 400, ""xgb__reg_alpha"": 1.0, ""xgb__reg_lambda"": 0.001, ""xgb__subsample"": 0.9}"
42,XGBoost,random15,15,1,0.8621160964918435,0.8663942880176774,0.0819165219607871,0.8499598369257924,0.8820774509337752,0.7837837837837838,0.9427083333333331,0.9166666666666666,"{""xgb__colsample_bytree"": 0.6108439230986429, ""xgb__gamma"": 0.06591517818926919, ""xgb__learning_rate"": 0.12765913049883412, ""xgb__max_depth"": 6, ""xgb__max_leaves"": 90, ""xgb__min_child_weight"": 0.22283502045856254, ""xgb__n_estimators"": 73, ""xgb__reg_alpha"": 0.0004827503174426639, ""xgb__reg_lambda"": 0.057783031614910725, ""xgb__subsample"": 0.8597738617445854}"
42,LogisticRegression,random5,5,1,0.8444340744237089,0.8388773423782103,0.0738440094085077,0.8243903096952507,0.853269374810213,0.6923076923076923,0.9432870370370372,0.875,"{""LGR__C"": 15.37948446580078, ""LGR__penalty"": ""l2"", ""LGR__solver"": ""lbfgs""}"
42,LogisticRegression,bayes15,15,6,0.8444340744237089,0.8388773423782103,0.0738440094085077,0.8243903096952507,0.853269374810213,0.6923076923076923,0.9432870370370372,0.875,"{""LGR__C"": 15.37948446580078, ""LGR__penalty"": ""l2"", ""LGR__solver"": ""lbfgs""}"
42,LogisticRegression,random15,15,1,0.8444340744237089,0.8388773423782103,0.0738440094085077,0.8243903096952507,0.853269374810213,0.6923076923076923,0.9432870370370372,0.875,"{""LGR__C"": 15.37948446580078, ""LGR__penalty"": ""l2"", ""LGR__solver"": ""lbfgs""}"
777,MLP,random5,5,1,0.8443767683884207,0.8142773433676851,0.0612317286603253,0.802478877608906,0.825973158566018,0.7222222222222222,0.9146412037037036,0.8958333333333334,"{""NN__activation"": ""tanh"", ""NN__alpha"": 1.0002962590175619e-05, ""NN__hidden_layer_sizes"": 14, ""NN__learning_rate_init"": 1.259377689791269e-07}"
777,MLP,bayes15,15,6,0.8443767683884207,0.8142773433676851,0.0612317286603253,0.802478877608906,0.825973158566018,0.7222222222222222,0.9146412037037036,0.8958333333333334,"{""NN__activation"": ""tanh"", ""NN__alpha"": 1.0002962590175619e-05, ""NN__hidden_layer_sizes"": 14, ""NN__learning_rate_init"": 1.259377689791269e-07}"
