System,RMSD_A
Ifenprodil (3QEL),0.8429
Ifenprodil (3QEL),0.8434
Ifenprodil (3QEL),0.844
Ifenprodil (3QEL),0.8501
Ifenprodil (3QEL),0.8522
Ifenprodil (3QEL),0.8535
Ifenprodil (3QEL),0.8574
Ifenprodil (3QEL),0.8635
Ifenprodil (3QEL),0.8666
Ifenprodil (3QEL),0.8755
Ifenprodil (3QEL),0.8776
Ifenprodil (3QEL),0.8789
Ifenprodil (3QEL),0.8796
Ifenprodil (3QEL),0.8927
Ifenprodil (3QEL),0.8963
Ifenprodil (3QEL),0.9036
Ifenprodil (3QEL),0.9064
Ifenprodil (3QEL),0.9112
Ifenprodil (3QEL),0.9169
Ifenprodil (3QEL),0.9223
Ifenprodil (3QEL),0.923
Ifenprodil (3QEL),0.9264
Ifenprodil (3QEL),0.9285
Ifenprodil (3QEL),0.9329
Ifenprodil (3QEL),0.9332
Ifenprodil (3QEL),0.9343
Ifenprodil (3QEL),0.9353
Ifenprodil (3QEL),0.9401
Ifenprodil (3QEL),0.9413
Ifenprodil (3QEL),0.9423
Ifenprodil (3QEL),0.9442
Ifenprodil (3QEL),0.9446
Ifenprodil (3QEL),0.9487
Ifenprodil (3QEL),0.9511
Ifenprodil (3QEL),0.9513
Ifenprodil (3QEL),0.9518
Ifenprodil (3QEL),0.96
Ifenprodil (3QEL),0.9628
Ifenprodil (3QEL),0.9684
Ifenprodil (3QEL),0.9707
Ifenprodil (3QEL),0.9745
Ifenprodil (3QEL),0.9915
Ifenprodil (3QEL),0.9917
Ifenprodil (3QEL),0.9949
Ifenprodil (3QEL),0.9951
Ifenprodil (3QEL),0.9954
Ifenprodil (3QEL),0.9962
Ifenprodil (3QEL),1.0001
Ifenprodil (3QEL),1.0027
Ifenprodil (3QEL),1.0028
Ifenprodil (3QEL),1.0037
Ifenprodil (3QEL),1.0091
Ifenprodil (3QEL),1.0123
Ifenprodil (3QEL),1.0123
Ifenprodil (3QEL),1.016
Ifenprodil (3QEL),1.0171
Ifenprodil (3QEL),1.0232
Ifenprodil (3QEL),1.0236
Ifenprodil (3QEL),1.0247
Ifenprodil (3QEL),1.0262
Ifenprodil (3QEL),1.0267
Ifenprodil (3QEL),1.0285
Ifenprodil (3QEL),1.0355
Ifenprodil (3QEL),1.0358
Ifenprodil (3QEL),1.0399
Ifenprodil (3QEL),1.0416
Ifenprodil (3QEL),1.0461
Ifenprodil (3QEL),1.0463
Ifenprodil (3QEL),1.0472
Ifenprodil (3QEL),1.0477
